                  0.4400E+01                -0.8452E-02                -0.4474E+00                -0.6011E-01                 0.3284E-02                -0.4019E-03                 0.1147E-01
                  0.4500E+01                -0.8830E-02                -0.4573E+00                -0.6144E-01                 0.3795E-02                -0.4730E-03                 0.1352E-01
                  0.4600E+01                -0.9215E-02                -0.4672E+00                -0.6276E-01                 0.4341E-02                -0.5515E-03                 0.1577E-01
                  0.4700E+01                -0.9609E-02                -0.4771E+00                -0.6409E-01                 0.4924E-02                -0.6375E-03                 0.1824E-01
                  0.4800E+01                -0.1001E-01                -0.4869E+00                -0.6541E-01                 0.5545E-02                -0.7316E-03                 0.2095E-01
                  0.4900E+01                -0.1042E-01                -0.4967E+00                -0.6673E-01                 0.6205E-02                -0.8340E-03                 0.2390E-01
                  0.5000E+01                -0.1083E-01                -0.5065E+00                -0.6805E-01                 0.6905E-02                -0.9455E-03                 0.2710E-01
                  0.5100E+01                -0.1126E-01                -0.5163E+00                -0.6936E-01                 0.7645E-02                -0.1066E-02                 0.3058E-01
                  0.5200E+01                -0.1169E-01                -0.5261E+00                -0.7067E-01                 0.1357E-03                -0.1965E-04                 0.5580E-03
                  0.5300E+01                -0.1212E-01                -0.5359E+00                -0.7198E-01                 0.1540E-03                -0.2269E-04                 0.6459E-03
                  0.5400E+01                -0.1257E-01                -0.5456E+00                -0.7329E-01                 0.1741E-03                -0.2609E-04                 0.7441E-03
                  0.5500E+01                -0.1302E-01                -0.5553E+00                -0.7459E-01                 0.1963E-03                -0.2982E-04                 0.8525E-03
                  0.5600E+01                -0.1348E-01                -0.5650E+00                -0.7589E-01                 0.2202E-03                -0.3417E-04                 0.9736E-03
                  0.5700E+01                -0.1394E-01                -0.5746E+00                -0.7719E-01                 0.2458E-03                -0.3886E-04                 0.1107E-02
                  0.5800E+01                -0.1442E-01                -0.5843E+00                -0.7849E-01                 0.2742E-03                -0.4394E-04                 0.1254E-02
                  0.5900E+01                -0.1489E-01                -0.5939E+00                -0.7978E-01                 0.3048E-03                -0.4953E-04                 0.1417E-02
                  0.6000E+01                -0.1538E-01                -0.6035E+00                -0.8107E-01                 0.3371E-03                -0.5573E-04                 0.1595E-02
                  0.6100E+01                -0.1587E-01                -0.6131E+00                -0.8236E-01                 0.3724E-03                -0.6252E-04                 0.1789E-02
                  0.6200E+01                -0.1637E-01                -0.6227E+00                -0.8364E-01                 0.4100E-03                -0.7004E-04                 0.2001E-02
                  0.6300E+01                -0.1688E-01                -0.6322E+00                -0.8492E-01                 0.4505E-03                -0.7807E-04                 0.2233E-02
                  0.6400E+01                -0.1739E-01                -0.6417E+00                -0.8620E-01                 0.4936E-03                -0.8691E-04                 0.2485E-02
                  0.6500E+01                -0.1791E-01                -0.6512E+00                -0.8747E-01                 0.5398E-03                -0.9621E-04                 0.2758E-02
                  0.6600E+01                -0.1843E-01                -0.6607E+00                -0.8875E-01                 0.5891E-03                -0.1067E-03                 0.3054E-02
                  0.6700E+01                -0.1897E-01                -0.6702E+00                -0.9001E-01                 0.6414E-03                -0.1178E-03                 0.3373E-02
                  0.6800E+01                -0.1950E-01                -0.6796E+00                -0.9128E-01                 0.6973E-03                -0.1298E-03                 0.3718E-02
                  0.6900E+01                -0.2005E-01                -0.6890E+00                -0.9254E-01                 0.7565E-03                -0.1428E-03                 0.4090E-02
                  0.7000E+01                -0.2060E-01                -0.6984E+00                -0.9380E-01                 0.8191E-03                -0.1569E-03                 0.4490E-02
                  0.7100E+01                -0.2115E-01                -0.7078E+00                -0.9506E-01                 0.8852E-03                -0.1718E-03                 0.4919E-02
                  0.7200E+01                -0.2172E-01                -0.7171E+00                -0.9631E-01                 0.9550E-03                -0.1877E-03                 0.5379E-02
                  0.7300E+01                -0.2228E-01                -0.7264E+00                -0.9756E-01                 0.1029E-02                -0.2050E-03                 0.5871E-02
                  0.7400E+01                -0.2286E-01                -0.7357E+00                -0.9881E-01                 0.1107E-02                -0.2234E-03                 0.6398E-02
                  0.7500E+01                -0.2344E-01                -0.7450E+00                -0.1001E+00                 0.1189E-02                -0.2430E-03                 0.6959E-02
                  0.7600E+01                -0.2402E-01                -0.7542E+00                -0.1013E+00                 0.1275E-02                -0.2638E-03                 0.7559E-02
                  0.7700E+01                -0.2462E-01                -0.7634E+00                -0.1025E+00                 0.1366E-02                -0.2862E-03                 0.8196E-02
                  0.7800E+01                -0.2521E-01                -0.7726E+00                -0.1038E+00                 0.1461E-02                -0.3097E-03                 0.8873E-02
                  0.7900E+01                -0.2582E-01                -0.7818E+00                -0.1050E+00                 0.1560E-02                -0.3349E-03                 0.9593E-02
                  0.8000E+01                -0.2642E-01                -0.7909E+00                -0.1062E+00                 0.1665E-02                -0.3616E-03                 0.1036E-01
                  0.8100E+01                -0.2704E-01                -0.8001E+00                -0.1074E+00                 0.1774E-02                -0.3897E-03                 0.1116E-01
                  0.8200E+01                -0.2766E-01                -0.8092E+00                -0.1087E+00                 0.1888E-02                -0.4198E-03                 0.1202E-01
